CODIGO,DESCRIPCION,COD.BARRA,TIPO,DEPARTAMENTO,U.COMPRA,PRECIO VENTA,U.VENTA,PESABLE,STOCK CRITICO,FACTOR VENTA,ULTIMO COSTO,FECHA,RUT PROVEEDOR,NOMBRE PROVEEDOR,STOCK
00000150,ACOND BALL MANZANILLA 750ML,7804920055040,VENTA,ARTICULOS DE AS,UNIDAD,1850,UNIDAD,,0000000000,0.7,0,00/00/0000,0000000000,,-13
00000151,ACOND BALL MAQUI ACAI 750ML,7804920006189,VENTA,,,1750,UNIDAD,,,,0,00/00/0000,0000000000,,-3
00000152,ACOND BALL PALTA ALMEND 750ML,7804920002587,VENTA,,,1950,UNIDAD,,,,,00/00/0000,,,0
00000153,ACOND BALL PALTA Y ALMENDRA 90,7804920003232,VENTA,ARTICULOS DE AS,UNIDAD,1850,UNIDAD,,0000000000,.70,,00/00/0000,0000000000,,-20
00000154,ACOND DOVE HIDRATACION INTENSA,7891150050501,VENTA,ARTICULOS DE AS,UNIDAD,2850,UNIDAD,,0000000000,.70,1661,00/00/0000,,,-3
00000155,ACOND DOVE OLEO MICELAR 400ML,7891150055230,VENTA,ARTICULOS DE AS,UNIDAD,2850,UNIDAD,,0000000000,.70,1661,00/00/0000,,,-3
00000156,ACOND ELVIVE ACIDO HIALU 370ML,7509552875010,VENTA,ABARROTES      ,UNIDAD,3990,UNIDAD,,0000000000,.70,2345,27/02/2024,0764815769,ASF LOGISTICA SPA,0
00000157,ACOND ELVIVE CAIDA RESIST 370M,7509552848045,VENTA,ABARROTES      ,UNIDAD,3990,UNIDAD,,0000000000,0.7,,00/00/0000,,,0
00000158,ACOND ELVIVE COLOR VIVE 370ML,7509552848076,VENTA,ABARROTES      ,UNIDAD,4550,UNIDAD,,0000000000,.70,,00/00/0000,,,-9
00000159,ACOND ELVIVE COLOR VIVE 400ML,7506078926929,VENTA,ARTICULOS DE AS,UNIDAD,4550,UNIDAD,,0000000000,.70,2345,00/00/0000,,,-4
00000160,ACOND ELVIVE DREAM LONG 400ML,7509552836561,VENTA,ABARROTES      ,,3990,UNIDAD,,0000000000,0.7,,00/00/0000,,,0
00000161,ACOND ELVIVE DREAM LONG LIZZ 3,7509552848052,VENTA,ABARROTES      ,,3990,UNIDAD,,0000000000,0.7,,00/00/0000,,,-3
00000162,ACOND ELVIVE HIDRA HIALURONICO,7509552845914,VENTA,ABARROTES      ,UNIDAD,4550,UNIDAD,,0000000000,.70,,00/00/0000,,,-22
00000163,ACOND ELVIVE OLEO EXTRA 370ML,7509552847512,VENTA,ABARROTES      ,UNIDAD,4300,UNIDAD,,0000000000,.70,,00/00/0000,,,-5
00000164,ACOND ELVIVE OLEO EXTRAORDINAR,7509552911459,VENTA,,,3150,UNIDAD,,,,,00/00/0000,,,0
00000165,ACOND ELVIVE OLEO EXTRAORDINAR RIZOS,7509552848038,VENTA,ARTICULOS DE AS,UNIDAD,3990,UNIDAD,,0000000000,.70,2261,07/08/2023,0764815769,ASF LOGISTICA SPA,0
00000166,ACOND ELVIVE OLEO EXTRAORDINAR,7509552908497,VENTA,,,3100,UNIDAD,,,,,00/00/0000,,,0
00000167,ACOND FRUCTIS ALOE BOMB 350ML,7509552830620,VENTA,ARTICULOS DE AS,UNIDAD,3300,UNIDAD,,0000000000,.70,1924,08/09/2023,0764815769,ASF LOGISTICA SPA,-4
00000168,ACOND FRUCTIS BRILLO VITAMINAD,7509552914108,VENTA,ARTICULOS DE AS,UNIDAD,4300,UNIDAD,,0000000000,.70,2873,09/02/2024,0764815769,ASF LOGISTICA SPA,-9
00000169,ACOND FRUCTIS FRESCURA VITAMIN,7509552915112,VENTA,ARTICULOS DE AS,UNIDAD,3750,UNIDAD,,0000000000,.70,2158,00/00/0000,,,-7
00000170,ACOND FRUCTIS LISO COCO 350ML,7509552816273,VENTA,,,3980,UNIDAD,,,,,00/00/0000,,,0
00000171,ACOND FRUCTIS OIL REPAIR 3 350,7509552914429,VENTA,ARTICULOS DE AS,UNIDAD,3750,UNIDAD,,0000000000,0.7,,00/00/0000,,,-3
00000172,ACOND HAIR FOOD BANANA GARNIER,7509552844160,VENTA,,,3990,UNIDAD,,,,,00/00/0000,,,0
00000173,ACOND MANZANILLA BABYLAND 410M,7804945007390,VENTA,,,2700,UNIDAD,,,,,00/00/0000,,,-1
00000175,ACOND OLEO NUTRICION DOVE 400M,7891150017337,VENTA,,,2400,UNIDAD,,,,,00/00/0000,,,0
00000176,ACOND PANTENE REST 200ML,7501006721294,VENTA,,,1800,UNIDAD,,,,,00/00/0000,,,0
00000177,ACOND SACHET PANTENE 10ML,7506309803784,VENTA,,,250,UNIDAD,,,,,00/00/0000,,,-19
00000179,ACOND SEDAL RESTAURACION INSTA,7791293031019,VENTA,,,2000,UNIDAD,,,,,00/00/0000,,,0
00000180,ACOND SEDAL RIZOS DEF 190ML,7791293030753,VENTA,,,1000,UNIDAD,,,,,00/00/0000,,,0
00000181,ACOND SEDAL RIZOS DEFINIDOS 34,7791293031026,VENTA,,,2000,UNIDAD,,,,,00/00/0000,,,0
00000182,ACOND SIMONDS PROTECCION MICEL,7804945013155,VENTA,,,1950,UNIDAD,,,,,00/00/0000,,,0
00000184,ACOND. SEDAL RESTAURACION 190M,7791293030746,VENTA,,,1200,UNIDAD,,,,,00/00/0000,,,0
00000185,ACT II CINEMA DULCE 91G,0076150601244,VENTA,,,1500,UNIDAD,,,,,00/00/0000,,,0
00000186,ACT II CINEMA MANTEQUILLA 91G,0076150601336,VENTA,,,1250,UNIDAD,,,,,00/00/0000,,,0
00000187,ACT II NATURAL 91G,0076150601329,VENTA,,,1100,UNIDAD,,,,,00/00/0000,,,-1
00000188,ACTRON 400MG X2UNID,0000000000107,VENTA,MEDICAMENTOS   ,UNIDAD,800,UNIDAD,,0000000000,0.7,,00/00/0000,,,-71
00000189,ACUARELA ESCOLAR,0000000000825,VENTA,,,1450,UNIDAD,,,,,00/00/0000,,,0
00000190,ADAPTADOR BLUETOOTH,6927181000381,VENTA,,,1600,UNIDAD,,,,,00/00/0000,,,-2
00000191,ADAPTADOR DE AGARRE,8802020520382,VENTA,,,700,UNIDAD,,,,,00/00/0000,,,-1
00000192,ADORNO NAVIDE O UNIDAD,0000000003311,VENTA,,,1000,UNIDAD,,,,,00/00/0000,,,-1
00000193,ADVANTAGE GATOS HASTA 4 KG,7702123000907,VENTA,MASCOTAS       ,UNIDAD,6900,UNIDAD,,0000000000,.70,4027,09/04/2024,0765625904,VETERINARIA PATRICIO ROCO ARGANDOÑA Y COMPAÑIA LIM,-3
00000194,ADVANTIX PERRO 10-25 KG,4007221050797,VENTA,,,10500,UNIDAD,,,,,00/00/0000,,,0
00000195,ADVANTIX PERRO 25 - 40KG,4007221050773,VENTA,,,13600,UNIDAD,,,,,00/00/0000,,,0
00000196,ADVANTIX PERRO 4-10 KG,4007221050780,VENTA,,,8300,UNIDAD,,,,,00/00/0000,,,0
00000197,ADVOCATE GATOS HASTA 4KG,4007221048329,VENTA,MASCOTAS       ,UNIDAD,10550,UNIDAD,,0000000000,.70,6193,09/04/2024,0765625904,VETERINARIA PATRICIO ROCO ARGANDOÑA Y COMPAÑIA LIM,5
00000198,AFRECHO,0205030000000,VENTA,,,1200,UNIDAD,,,,,00/00/0000,,,0
00000199,AGUA C/GAS COLUN 375CC,7802920008677,VENTA,,,1300,UNIDAD,,,,,00/00/0000,,,0
00000200,AGUA DEL CARMEN 40ML,7800068010118,VENTA,,,3000,UNIDAD,,,,,00/00/0000,,,0
00000204,AGUA GUALLARAUCO MANZANA 500ML,7803908004438,VENTA,,,1000,UNIDAD,,,,,00/00/0000,,,0
00000206,AGUA GUALLARAUCO PERA 500ML,7803908004445,VENTA,,,1000,UNIDAD,,,,,00/00/0000,,,0
00000207,AGUA LEBEN 6L,7804657450088,VENTA,ABARROTES      ,UNIDAD,1950,UNIDAD,,0000000000,.70,1134,14/11/2023,0764106253,EMBOTELLADORA DE AGUAS REGIONALES S.A,-364
00000212,AGUA OXIGENADA 110CC,7804947004588,VENTA,ABARROTES      ,UNIDAD,950,UNIDAD,,0000000000,.70,,00/00/0000,,,-21
00000213,AGUA OXIGENADA 55,7804947004632,VENTA,,,700,UNIDAD,,,,,00/00/0000,,,-1
00000214,AGUA S/GAS COLUN 375CC,7802920008615,VENTA,,,1300,UNIDAD,,,,,00/00/0000,,,0
00000215,AGUA TONICA CANADA DRY 1.5L,7801620370107,VENTA,BEBIDAS        ,UNIDAD,1990,UNIDAD,,0000000000,0.7,1267,30/11/2023,0995545608,COMERCIAL CCU S.A,-29
00000216,SCHWEPPES AGUA TONICA 1.5L,7801610382028,VENTA,BEBIDAS        ,UNIDAD,2300,UNIDAD,,0000000000,.70,1191,28/12/2023,0911440008,EMBOTELLADORA ANDINA S.A,-31
00000217,SCHWEPPES AGUA TONICA ZERO 350CC,7801610475218,VENTA,BEBIDAS        ,UNIDAD,1100,UNIDAD,,0000000000,.70,,00/00/0000,,,-21
00000218,AGUA VERDE AUTO 5L,7804630750013,VENTA,HOGAR          ,UNIDAD,3500,UNIDAD,,0000000000,.70,908,28/02/2024,0774583378,COMERCIAL H2O.29 SPA,-9
00000219,AIRLINES AIRBUS,0000000081209,VENTA,,,2900,UNIDAD,,,,,00/00/0000,,,0
00000220,AJI CHILENO JB 240G,7802640400270,VENTA,ABARROTES      ,UNIDAD,1800,UNIDAD,,0000000000,.70,1042,08/02/2024,0702511003,CENTRAL DE COMPRAS LA CALERA S.A,-27
00000222,AJI CHILENO TRAVERSO 350G,7802337910020,VENTA,,,950,UNIDAD,,,,,00/00/0000,,,0
00000223,AJI COLOR EDRA 15G,7802420004599,VENTA,ABARROTES      ,UNIDAD,250,UNIDAD,,0000000000,.70,134,22/09/2023,093178000K,IMPORTADORA CAFE DO BRASIL S.A,-291
00000225,AJI CREMA DON JUAN 100G,7802351221003,VENTA,ABARROTES      ,UNIDAD,450,UNIDAD,,0000000000,.70,254,25/08/2023,0000000000,,-289
00000226,AJI CREMA JB 100G,7802640000142,VENTA,ABARROTES      ,UNIDAD,750,UNIDAD,,0000000000,.70,422,08/02/2024,0702511003,CENTRAL DE COMPRAS LA CALERA S.A,-44
00000235,AJI PEBRE DON JUAN 240G,7802351241018,VENTA,ABARROTES      ,UNIDAD,1400,UNIDAD,,0000000000,.70,782,00/00/0000,,,-64
00000236,AJI PEBRE JB 240G,7802640720637,VENTA,ABARROTES      ,UNIDAD,1800,UNIDAD,,0000000000,.70,1042,08/02/2024,0702511003,CENTRAL DE COMPRAS LA CALERA S.A,-32
00000240,AJI VERDE,0202080000000,VENTA,VERDURAS       ,KILO,6000,UNIDAD,,0000000000,.70,,00/00/0000,,,0
00000242,AJO EN POLVO EDRA 15G,7802420004605,VENTA,ABARROTES      ,UNIDAD,250,UNIDAD,,0000000000,.70,120,22/09/2023,093178000K,IMPORTADORA CAFE DO BRASIL S.A,-177
00000244,ALBAHACA,0000000000277,VENTA,VERDURAS       ,UNIDAD,1000,UNIDAD,,0000000000,.70,,00/00/0000,,,-201
00000245,ALBAHACA MP 6GRS,7802420811395,VENTA,,,200,UNIDAD,,,,,00/00/0000,,,0
00000246,ALCANCIA,6922462152599,VENTA,,,900,UNIDAD,,,,,00/00/0000,,,0
00000247,ALCAPARRA EDRA MP 110G,7802420005220,VENTA,ABARROTES      ,UNIDAD,1800,UNIDAD,,0000000000,.70,1055,00/00/0000,,,-9
00000250,ALCOHOL EN AEROSOL REXONA 58G,7791293040257,VENTA,,,1700,UNIDAD,,,,,00/00/0000,,,0
00000252,ALCOHOL GEL ELITE 320ML,7806500981534,VENTA,,,3350,UNIDAD,,,,,00/00/0000,,,-1
00000253,ALCOHOL GEL ELITE 60ML,7806500981541,VENTA,,,1400,UNIDAD,,,,,00/00/0000,,,0
00000254,ALCOHOL SPRAY ELITE 75ML,7806500981565,VENTA,ABARROTES      ,UNIDAD,1200,UNIDAD,,0000000000,0.7,,00/00/0000,,,-4
00000255,ALEMANA PF,0203020000000,VENTA,CECINAS Y FIAMB,UNIDAD,5400,UNIDAD,,0000000000,.60,2650,08/04/2024,0910040006,PRODUCTOS FERNANDEZ S.A,6
00000256,ALFAJOR BON O BON 40G,7790040613706,VENTA,SNACKS Y CONFIT,UNIDAD,650,UNIDAD,,0000000000,.70,362,12/08/2023,0780365102,SOC SERIO AGUIRRE ZEBALLOS LTDA,-302
00000257,ALFAJOR BON O BON BLANCO 40G,7790040613607,VENTA,SNACKS Y CONFIT,UNIDAD,650,UNIDAD,,0000000000,.70,362,12/08/2023,0780365102,SOC SERIO AGUIRRE ZEBALLOS LTDA,-214
00000258,ALFAJOR BON O BON TRIPLE 60G,7790040425446,VENTA,SNACKS Y CONFIT,UNIDAD,850,UNIDAD,,0000000000,.70,475,00/00/0000,,,-61
00000259,ALFAJOR BRANDY LAGOS DEL SUR 45G,7803400000204,VENTA,SNACKS Y CONFIT,UNIDAD,900,UNIDAD,,0000000000,0.7,,00/00/0000,,,-12
00000262,ALFAJOR CLASICO LAGOS DEL SUR,7803400000105,VENTA,SNACKS Y CONFIT,UNIDAD,900,UNIDAD,,0000000000,.70,520,00/00/0000,,,-11
00000266,ALFI MARINELA 45G,7803473002020,VENTA,SNACKS Y CONFIT,UNIDAD,900,UNIDAD,,0000000000,.70,520,24/01/2024,0826235004,IDEAL S.A,-452
00000268,ALGODON PRENSADO 100G,7806545010121,VENTA,,,1450,UNIDAD,,,,,00/00/0000,,,0
00000269,ALGODON PRENSADO 50G,7754754000177,VENTA,MEDICAMENTOS   ,UNIDAD,1250,UNIDAD,,0000000000,.70,629,00/00/0000,,,-17
00000271,ALICATE,6921558660161,VENTA,,,2350,UNIDAD,,,,,00/00/0000,,,-2
00000272,ALITAS,0201410000000,VENTA,CARNICERIA     ,UNIDAD,5800,UNIDAD,,0000000000,.70,3500,13/12/2023,0799842408,AGROSUPER COMERCIALIZADORA DE ALIMENTOS LTDA,-183
00000273,ALI O COMPLETO EDRA 15GR,7802420004636,VENTA,ABARROTES      ,UNIDAD,250,UNIDAD,,0000000000,.70,113,22/09/2023,093178000K,IMPORTADORA CAFE DO BRASIL S.A,-160
00000274,ALKA 2 MENTOL 28G,0000077983428,VENTA,SNACKS Y CONFIT,UNIDAD,500,UNIDAD,,0000000000,.70,286,00/00/0000,,,-59
00000275,ALKA 2 CEREZA 28G,0000077967602,VENTA,SNACKS Y CONFIT,UNIDAD,500,UNIDAD,,0000000000,.70,,00/00/0000,,,-109
00000276,ALKA CEREZA 29G,0000078020146,VENTA,SNACKS Y CONFIT,UNIDAD,400,UNIDAD,,0000000000,0.7,,00/00/0000,,,-112
00000278,ALKA EUCALIPTUS 25G,7802225409391,VENTA,SNACKS Y CONFIT,UNIDAD,400,UNIDAD,,0000000000,.70,153,06/10/2023,0780365102,SOC SERIO AGUIRRE ZEBALLOS LTDA,-121
00000279,ALKA EUCALIPTUS MENTA SUAVE 25,7802225409445,VENTA,SNACKS Y CONFIT,UNIDAD,400,UNIDAD,,0000000000,.70,153,06/10/2023,0780365102,SOC SERIO AGUIRRE ZEBALLOS LTDA,-134
00000282,ALKA MENTA 29G,0000078021365,VENTA,SNACKS Y CONFIT,UNIDAD,400,UNIDAD,,0000000000,0.7,,00/00/0000,,,-166
00000284,ALKA MENTOL 29G,0000078012547,VENTA,SNACKS Y CONFIT,UNIDAD,400,UNIDAD,,0000000000,0.7,,00/00/0000,,,-95
00000286,ALKA MIEL 29G,0000078020153,VENTA,SNACKS Y CONFIT,UNIDAD,400,UNIDAD,,0000000000,.70,222,00/00/0000,,,-193
00000288,ALKA STRONG 29G,0000078012554,VENTA,SNACKS Y CONFIT,UNIDAD,400,UNIDAD,,0000000000,0.7,,00/00/0000,,,-149
00000290,ALMENDRADO HELADO PEMIUM 1L SA,7613033725333,VENTA,HELADOS        ,UNIDAD,6000,UNIDAD,,0000000000,.70,,00/00/0000,,,-36
00000297,ALOE VERA GUALLARAUCO 500ML,7803908006043,VENTA,BEBIDAS        ,UNIDAD,1800,UNIDAD,,0000000000,.70,639,14/12/2023,0911440008,EMBOTELLADORA ANDINA S.A,-64
00000301,ALPISTE,0205240000000,VENTA,MASCOTAS       ,KILO,3450,UNIDAD,,0000000000,0.7,,00/00/0000,,,-20
00000302,ALTEZA BOCADO MCKAY 140G,7802230082503,VENTA,SNACKS Y CONFIT,UNIDAD,2000,UNIDAD,,0000000000,.70,1194,28/02/2024,076031188K,ALFREDO ADOLFO KAMEID,-177
00000303,ALTEZA CHIRIMOYA MCKAY 140G,7802230082510,VENTA,SNACKS Y CONFIT,UNIDAD,2000,UNIDAD,,0000000000,.70,1076,13/02/2024,0762326477,CENTRAL MAYORISTA ,-328
00000304,ALTEZA FRUTILLA 140G,7802230082527,VENTA,SNACKS Y CONFIT,UNIDAD,2000,UNIDAD,,0000000000,.70,1076,13/02/2024,0762326477,CENTRAL MAYORISTA ,-350
00000305,ALTEZA HELADO MCKAY 140G,7802230082534,VENTA,ABARROTES      ,UNIDAD,2000,UNIDAD,,0000000000,.70,1071,13/02/2024,0762326477,CENTRAL MAYORISTA ,-209
00000306,ALTO DEL CARMEN 35 1L,7802110001952,VENTA,BEBIDAS ALCOHOL,UNIDAD,8500,UNIDAD,,0000000000,.70,5000,14/12/2023,0000000000,,-33
00000307,ALTO DEL CARMEN 35 750ML,7802110501056,VENTA,BEBIDAS ALCOHOL,UNIDAD,7500,UNIDAD,,0000000000,.70,4244,14/12/2023,0000000000,,-18
00000308,ALTO DEL CARMEN BARRICAS 750CC,7802110002614,VENTA,BEBIDAS ALCOHOL,UNIDAD,7990,UNIDAD,,0000000000,.70,4802,06/10/2023,0000000000,,-8
00000309,ALTO DEL CARMEN BERRIES 750C,7802110003246,VENTA,,,8500,UNIDAD,,,,,00/00/0000,,,0
00000310,ALTO DEL CARMEN CUMBRE 750ML,7802110002065,VENTA,BEBIDAS ALCOHOL,UNIDAD,17200,UNIDAD,,0000000000,.70,,00/00/0000,0000000000,,-1
00000311,ALTO DEL CARMEN ET BLANCA 750C,7802110003260,VENTA,BEBIDAS ALCOHOL,UNIDAD,10800,UNIDAD,,0000000000,.70,6277,06/10/2023,0000000000,,-1
00000312,ALTO DEL CARMEN ET NEGRA 750C,7802110000504,VENTA,BEBIDAS ALCOHOL,UNIDAD,10800,UNIDAD,,0000000000,.70,,00/00/0000,0000000000,,-2
00000313,ALTO DEL CARMEN RESERVA 750CC,7802110840186,VENTA,BEBIDAS ALCOHOL,UNIDAD,7990,UNIDAD,,0000000000,.70,5294,28/12/2023,0000000000,,-7
00000314,ALTO DEL CARMEN ROBLES DEL SUR 750CC,7802110002904,VENTA,BEBIDAS ALCOHOL,UNIDAD,7500,UNIDAD,,0000000000,.70,5051,01/12/2023,0911440008,EMBOTELLADORA ANDINA S.A,-24
00000315,ALTO DEL CARMEN TRANSPARENTE 750CC,7802110001402,VENTA,BEBIDAS ALCOHOL,UNIDAD,7990,UNIDAD,,0000000000,.70,5294,28/12/2023,0000000000,,-15
00000316,ALTO DEL CARMEN VOLCAN 750ML,7802110003307,VENTA,BEBIDAS ALCOHOL,UNIDAD,17200,UNIDAD,,0000000000,.70,,00/00/0000,0000000000,,0
00000317,ALTO ICE ALTONIC 275ML,7802110002355,VENTA,,,1500,UNIDAD,,,,,00/00/0000,,,0
00000318,ALTO ICE FRESH 275ML,7802110002676,VENTA,,,1500,UNIDAD,,,,,00/00/0000,,,0
00000322,ALUSA PAPEL MANTEQUILLA 7.5MT,7801875150592,VENTA,,,1850,UNIDAD,,,,0,00/00/0000,0000000000,,-2
00000323,ALUFOIL ECONOMICO 4MTS,7801875150233,VENTA,HOGAR          ,UNIDAD,1350,UNIDAD,,0000000000,.70,797,15/12/2023,0764815769,ASF LOGISTICA SPA,-17
00000324,ALUPLAST ECONOMICO 15MTS,7801875150455,VENTA,HOGAR          ,UNIDAD,1000,UNIDAD,,0000000000,.70,602,04/11/2023,0000000000,,-11
00000325,ALWAYS DIA ULTRAFINA 8U,7501065922755,VENTA,ARTICULOS DE AS,UNIDAD,1450,UNIDAD,,0000000000,.70,846,27/09/2023,0702511003,CENTRAL DE COMPRAS LA CALERA S.A,0
00000326,ALWAYS NOCHE ULTRAFINA 8U,7590002012383,VENTA,HOGAR          ,UNIDAD,1500,UNIDAD,,0000000000,.70,858,00/00/0000,,,0
00000327,ALWAYS NOCTURNA 8U,7500435167680,VENTA,ARTICULOS DE AS,UNIDAD,1200,UNIDAD,,0000000000,.70,0,00/00/0000,0000000000,,-37
00000328,ALWAYS ULTRAFINA DIA 8T,0750043167697,VENTA,,,1200,UNIDAD,,,,,00/00/0000,,,0
00000333,AMBERRIES 25G,7802200135741,VENTA,SNACKS Y CONFIT,UNIDAD,300,UNIDAD,,0000000000,0.7,152,06/12/2023,0702511003,CENTRAL DE COMPRAS LA CALERA S.A,-1015
00000334,AMBERRIES AMBROSOLI 100G,7802200036383,VENTA,,,1200,UNIDAD,,,,,00/00/0000,,,0
00000336,AMBROSITO AMBROSOLI 100G,7802200039643,VENTA,,,1150,UNIDAD,,,,,00/00/0000,,,0
